Date,Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12/12/2022,Pine Ridge,7,6,6,4,7,6,5,5,7,6,5,6,6,8,5,5,5,6
1/16/2023,Pine Ridge,8,8,6,6,6,7,7,6,6,,,,,,,,,
1/30/2023,Pine Ridge,6,6,6,3,8,6,6,6,6,,,,,,,,,
2/7/2023,Pine Ridge,6,6,6,5,6,8,7,4,7,,,,,,,,,
2/15/2023,Pine Ridge,7,5,8,4,7,7,6,3,9,,,,,,,,,
2/20/2023,Pine Ridge,8,5,6,5,6,5,5,3,7,6,6,7,6,6,6,5,4,7
3/1/2023,Pine Ridge,8,5,8,5,7,6,5,4,6,5,6,6,6,4,6,6,5,7
3/6/2023,Pine Ridge,6,6,6,4,6,5,5,6,7,5,5,8,6,5,5,5,4,8
3/20/2023,Pine Ridge,5,5,6,4,6,6,6,3,7,7,5,7,5,4,7,7,4,10
3/27/2023,Pine Ridge,6,7,5,3,8,8,5,3,7,,,,,,,,,
3/29/2023,Pine Ridge,8,8,8,4,10,6,4,3,7,7,5,5,7,2,7,4,4,8
4/17/2023,Pine Ridge,7,6,5,3,6,7,7,4,7,6,6,7,7,4,5,8,5,6
4/24/2023,Pine Ridge,6,5,5,5,6,7,6,5,8,4,7,6,5,4,7,5,5,8
5/8/2023,Pine Ridge,8,6,8,5,9,6,5,4,7,7,7,6,6,4,5,6,5,9
5/15/2023,Pine Ridge,4,5,6,4,5,6,7,4,7,7,6,7,6,5,6,6,4,7
6/5/2023,Pine Ridge,8,5,4,3,6,5,6,5,6,5,5,6,7,4,7,7,4,6
6/12/2023,Pine Ridge,5,7,8,6,7,5,5,5,6,5,5,5,7,4,7,,,
6/26/2023,Pine Ridge,8,8,6,4,9,6,7,4,8,4,7,6,6,4,6,6,6,8
7/3/2023,Pine Ridge,7,6,5,6,7,6,5,5,5,6,7,8,8,4,7,5,4,7
7/24/2023,Pine Ridge,6,4,7,4,7,6,4,4,8,6,6,8,5,4,6,4,3,8
8/11/2023,Pine Ridge,7,6,7,5,7,7,5,3,8,,,,,,,,,
8/14/2023,Pine Ridge,8,6,7,5,6,7,5,6,7,5,7,6,6,5,7,5,4,8
8/25/2023,Pine Ridge,6,4,7,5,8,6,8,4,6,7,5,6,8,4,8,6,5,7
10/19/2023,Pine Ridge,8,8,7,4,6,7,6,5,6,,,,,,,,,
11/13/2023,Pine Ridge,8,7,7,4,7,6,5,5,9,6,5,7,7,6,6,6,4,7
11/20/2023,Pine Ridge,6,6,6,5,8,5,6,3,8,5,5,6,7,3,5,7,6,8
11/27/2023,Pine Ridge,6,5,6,4,10,7,6,2,8,,,,,,,,,
12/15/2023,Pine Ridge,8,7,7,4,8,7,6,3,8,,,,,,,,,
1/3/2024,Pine Ridge,6,6,4,5,6,5,6,4,7,,,,,,,,,
1/11/2024,Pine Ridge,8,5,7,3,7,5,5,4,7,,,,,,,,,
2/1/2024,Pine Ridge,6,7,6,4,7,7,5,6,7,6,8,8,7,5,5,5,4,9
2/8/2024,Pine Ridge,5,4,7,4,6,5,6,4,7,,,,,,,,,
2/21/2024,Pine Ridge,8,5,6,5,7,6,6,8,6,,,,,,,,,
3/4/2024,Pine Ridge,8,6,6,4,8,6,7,4,8,6,5,7,7,7,5,6,6,7
3/14/2024,Pine Ridge,7,4,7,6,8,6,5,6,7,5,5,7,8,4,5,5,4,6
3/18/2024,Pine Ridge,7,7,5,5,8,6,6,4,6,,,,,,,,,
4/8/2024,Pine Ridge,7,7,8,4,8,6,5,3,8,5,7,6,6,4,5,5,4,7
5/6/2024,Pine Ridge,6,8,5,5,6,8,6,5,7,7,7,6,6,5,8,7,3,8
5/13/2024,Pine Ridge,5,6,6,4,10,5,5,6,6,7,5,7,7,6,6,5,5,7
5/20/2024,Pine Ridge,8,5,7,4,8,8,6,4,7,7,8,7,6,3,7,6,4,7
5/28/2024,Pine Ridge,8,6,7,5,7,5,5,3,7,8,8,8,7,3,7,7,4,8
7/22/2024,Pine Ridge,6,5,6,4,7,5,5,5,6,,,,,,,,,
8/26/2024,Pine Ridge,6,8,8,4,8,7,6,4,6,7,5,7,5,5,4,5,5,7
9/9/2024,Pine Ridge,8,6,7,4,6,6,4,5,8,6,7,8,5,3,5,5,4,7
9/16/2024,Pine Ridge,6,4,7,3,7,5,6,4,6,5,8,7,7,4,7,6,4,8
11/11/2024,Pine Ridge,6,7,7,5,7,5,6,3,6,6,6,8,5,4,8,6,5,7
11/18/2024,Pine Ridge,6,5,8,4,7,7,5,3,6,6,8,9,7,5,6,4,5,6
11/25/2024,Pine Ridge,8,5,8,4,6,6,6,4,8,5,5,6,5,5,5,5,4,7
12/10/2024,Pine Ridge,6,7,7,5,8,5,6,3,7,,,,,,,,,
12/16/2024,Pine Ridge,7,7,7,3,8,7,6,3,9,,,,,,,,,
2/24/2025,Pine Ridge,8,5,5,5,10,6,6,4,8,8,5,8,6,5,7,6,4,8
3/3/2025,Pine Ridge,8,8,7,3,8,6,5,5,6,,,,,,,,,
3/31/2025,Pine Ridge,6,7,6,6,6,6,5,5,6,8,6,7,8,4,7,5,5,7
4/1/2024,Pine Ridge,6,5,8,5,6,6,4,6,8,,,,,,,,,
4/9/2025,Pine Ridge,7,5,7,4,6,7,7,4,6,,,,,,,,,
4/23/2025,Pine Ridge,5,6,5,4,7,5,8,3,6,6,5,6,6,4,6,7,5,6
4/28/2025,Pine Ridge,6,6,5,3,8,7,4,3,6,6,6,6,6,6,5,6,4,6
5/12/2025,Pine Ridge,7,6,6,4,8,7,5,5,5,5,4,5,6,6,6,7,5,9
5/26/2025,Pine Ridge,8,6,8,3,8,8,6,5,7,8,7,6,6,6,5,6,4,7
6/9/2025,Pine Ridge,5,5,7,3,8,6,6,4,7,7,7,9,7,4,7,6,5,8
6/23/2025,Pine Ridge,6,6,6,4,7,6,6,4,8,,,,,,,,,
6/30/2025,Pine Ridge,8,5,7,4,6,5,6,4,6,4,5,6,7,4,6,6,4,9
7/21/2025,Pine Ridge,6,5,6,6,6,7,4,6,6,5,5,7,5,4,5,5,5,7
8/4/2025,Pine Ridge,6,5,7,4,9,5,5,6,7,,,,,,,,,
8/18/2025,Pine Ridge,7,6,7,4,7,6,5,6,9,6,5,6,7,4,7,5,4,6
9/1/2025,Pine Ridge,7,6,7,2,10,6,4,6,8,6,7,7,7,4,5,5,4,8
9/15/2025,Pine Ridge,7,6,4,4,7,8,6,5,8,,,,,,,,,
10/10/2025,Pine Ridge,8,6,7,4,9,7,5,5,7,,,,,,,,,
10/27/2025,Pine Ridge,6,6,8,4,6,5,5,3,7,6,7,6,7,3,5,5,3,6
11/12/2025,Pine Ridge,5,7,6,3,8,6,7,4,6,,,,,,,,,
11/17/2025,Pine Ridge,6,6,7,4,5,5,7,4,8,,,,,,,,,
11/24/2025,Pine Ridge,6,5,7,4,7,6,5,5,6,,,,,,,,,
1/8/2026,Pine Ridge,5,6,7,5,7,7,5,6,7,,,,,,,,,
1/13/2026,Pine Ridge,8,7,8,4,7,6,6,4,6,,,,,,,,,
3/9/2026,Pine Ridge,7,5,7,5,7,6,6,4,8,7,6,7,6,4,6,5,3,8
3/23/2026,Pine Ridge,6,7,6,6,9,6,8,3,7,,,,,,,,,
3/30/2026,Pine Ridge,6,7,6,6,7,7,8,5,7,,,,,,,,,
4/13/2026,Pine Ridge,6,4,5,5,6,6,6,4,3,6,5,8,8,6,5,7,4,7
4/27/2026,Pine Ridge,7,5,8,4,8,8,8,4,7,5,6,6,5,6,6,5,5,7
6/1/2026,Pine Ridge,5,5,7,3,6,7,6,5,7,,,,,,,,,
6/8/2026,Pine Ridge,6,8,6,3,7,6,6,5,7,7,5,8,8,4,6,5,6,7
6/22/2026,Pine Ridge,5,6,5,7,6,6,5,5,5,6,5,6,5,4,6,5,4,7
7/20/2026,Pine Ridge,6,8,6,4,7,7,6,6,5,6,6,7,7,6,7,6,4,7
